H	1	1	0.99985	0.5	0.5	0
H	1	2	0.00015	1	0	0
He	2	3	1.37E-06	0.5	-0.081	0.552
He	2	4	0.99999863	0	0	0
Li	3	6	0.0759	1	0	0
Li	3	7	0.9241	1.5	 0.497	0.004
Be	4	9	1	1.5	0.007	0.415
B	5	10	0.198	3	0	0
B	5	11	0.802	1.5	0.292	0.008
C	6	12	0.9889	0	0	0
C	6	13	0.0111	0.5	-0.009	-0.172
N	7	14	0.99634	1	0	0
N	7	15	0.00366	0.5	-0.145	0.037
O	8	16	0.99762	0	0	0
O	8	17	0.00038	2.5	-0.036	0.508
O	8	18	0.002	0	0	0
F	9	19	1	0.5	0.478	-0.002
Ne	10	20	0.9048	0	0	0
Ne	10	21	0.0027	1.5	0.02	0.294
Ne	10	22	0.0925	0	0	0
Na	11	23	1	1.5	0.224	0.024
Mg	12	24	0.7899	0	0	0
Mg	12	25	0.1	2.5	0.04	0.376
Mg	12	26	0.1101	0	0	0
Al	13	27	1	2.5	0.326	0.038
Si	14	28	0.9223	0	0	0
Si	14	29	0.04683	0.5	0.016	0.156
Si	14	30	0.03087	0	0	0
P	15	31	1	0.5	0.181	0.032
S	16	32	0.9502	0	0	0
S	16	33	0.0075	1.5	0	0
S	16	34	0.0421	0	0	0
S	16	36	0.0002	0	0	0
Cl	17	35	0.7577	1.5	-0.051	-0.0088
Cl	17	37	0.2423	1.5	0	0
Ar	18	36	0.003365	0	0	0
Ar	18	38	0.000632	0	0	0
Ar	18	40	0.996003	0	0	0
K	19	39	0.932581	1.5	-0.197	0.051
K	19	40	0.000117	4	0	0
K	19	41	0.067302	1.5	0	0
Ca	20	40	0.9694	0	0	0
Ca	20	42	0.00647	0	0	0
Ca	20	43	0.00135	3.5	0	0
Ca	20	44	0.0209	0	0	0
Ca	20	46	0.00004	0	0	0
Ca	20	48	0.00187	0	0	0
Sc	21	45	1	3.5	0	0
Ti	22	46	0.0825	0	0	0
Ti	22	47	0.0744	2.5	0	0.21
Ti	22	48	0.7372	0	0	0
Ti	22	49	0.0541	3.5	0	0.29
Ti	22	50	0.0518	0	0	0
V	23	50	0.0025	6	0	0
V	23	51	0.9975	3.5	0.36	0
Cr	24	50	0.04345	0	0	0
Cr	24	52	0.83789	0	0	0
Cr	24	53	0.09501	1.5	0	0
Cr	24	54	0.02365	0	0	0
Mn	25	55	1	2.5	0.264	0
Fe	26	54	0.05845	0	0	0
Fe	26	56	0.91754	0	0	0
Fe	26	57	0.02119	0.5	0	0
Fe	26	58	0.00282	0	0	0
Co	27	59	1	3.5	0.25	0
Ni	28	58	0.68077	0	0	0
Ni	28	60	0.26223	0	0	0
Ni	28	61	0.0114	1.5	0	0
Ni	28	62	0.03634	0	0	0
Ni	28	64	0.00926	0	0	0
Cu	29	63	0.6917	1.5	0	0
Cu	29	65	0.3083	1.5	0	0
Zn	30	64	0.4863	0	0	0
Zn	30	66	0.279	0	0	0
Zn	30	67	0.041	2.5	0	-0.23
Zn	30	68	0.1875	0	0	0
Zn	30	70	0.0062	0	0	0
Ga	31	69	0.60108	1.5	0.11	0
Ga	31	71	0.39892	1.5	0.23	0
Ge	32	70	0.2037	0	0	0
Ge	32	72	0.2731	0	0	0
Ge	32	73	0.0776	4.5	0.031	0.439
Ge	32	74	0.3673	0	0	0
Ge	32	76	0.0783	0	0	0
As	33	75	1	1.5	-0.01	0
Se	34	74	0.0089	0	0	0
Se	34	76	0.0937	0	0	0
Se	34	77	0.0763	0.5	0	0
Se	34	78	0.2377	0	0	0
Se	34	80	0.4961	0	0	0
Se	34	82	0.0873	0	0	0
Br	35	79	0.5069	1.5	0.13	0
Br	35	81	0.4931	1.5	0.17	0
Kr	36	78	0.0035	0	0	0
Kr	36	80	0.0228	0	0	0
Kr	36	82	0.1158	0	0	0
Kr	36	83	0.1149	4.5	0	0
Kr	36	84	0.57	0	0	0
Kr	36	86	0.173	0	0	0
Rb	37	85	0.7217	2.5	0	0
Rb	37	87	0.2783	1.5	0	0
Sr	38	84	0.0056	0	0	0
Sr	38	86	0.0986	0	0	0
Sr	38	87	0.07	4.5	0	0
Sr	38	88	0.8258	0	0	0
Y	39	89	1	0.5	0	0
Zr	40	90	0.5145	0	0	0
Zr	40	91	0.1122	2.5	0	0.34
Zr	40	92	0.1715	0	0	0
Zr	40	94	0.1738	0	0	0
Zr	40	96	0.028	0	0	0
Nb	41	93	1	4.5	0.48	0.04
Mo	42	100	0.0963	0	0	0
Mo	42	92	0.1484	0	0	0
Mo	42	94	0.0925	0	0	0
Mo	42	95	0.1592	2.5	0	0
Mo	42	96	0.1668	0	0	0
Mo	42	97	0.0955	2.5	0	0
Mo	42	98	0.2413	0	0	0
Tc	43	99	0	0	0	0
Ru	44	100	0.126	0	0	0
Ru	44	101	0.1706	2.5	0	0.19
Ru	44	102	0.3155	0	0	0
Ru	44	104	0.1862	0	0	0
Ru	44	96	0.0554	0	0	0
Ru	44	98	0.0187	0	0	0
Ru	44	99	0.1276	2.5	0	0.17
Rh	45	103	1	0.5	0	0
Pd	46	102	0.0102	0	0	0
Pd	46	104	0.1114	0	0	0
Pd	46	105	0.2233	2.5	0	0
Pd	46	106	0.2733	0	0	0
Pd	46	108	0.2646	0	0	0
Pd	46	110	0.1172	0	0	0
Ag	47	107	0.51839	0.5	-0.13	0
Ag	47	109	0.48161	0.5	-0.14	0
Cd	48	106	0.0125	0	0	0
Cd	48	108	0.0089	0	0	0
Cd	48	110	0.1249	0	0	0
Cd	48	111	0.128	0.5	0	0.16
Cd	48	112	0.2413	0	0	0
Cd	48	113	0.1222	0.5	-0.001	0.488
Cd	48	114	0.2873	0	0	0
Cd	48	116	0.0749	0	0	0
In	49	113	0.0429	4.5	0	0
In	49	115	0.9571	4.5	-0.001	0.488
Sn	50	112	0.0097	0	0	0
Sn	50	114	0.0066	0	0	0
Sn	50	115	0.0034	0.5	0	0.24
Sn	50	116	0.1454	0	0	0
Sn	50	117	0.0768	0.5	0	0.126
Sn	50	118	0.2422	0	0	0
Sn	50	119	0.0859	0.5	0	0
Sn	50	120	0.3258	0	0	0
Sn	50	122	0.0463	0	0	0
Sn	50	124	0.0579	0	0	0
Sb	51	121	0.5721	2.5	0.188	0
Sb	51	123	0.4279	3.5	-0.207	0
Te	52	120	0.0009	0	0	0
Te	52	122	0.0255	0	0	0
Te	52	123	0.0089	0.5	0	0.491
Te	52	124	0.0474	0	0	0
Te	52	125	0.0707	0.5	-0.0008	0.499
Te	52	126	0.1884	0	0	0
Te	52	128	0.3174	0	0	0
Te	52	130	0.3408	0	0	0
I	53	127	1	2.5	0.342	0.031
Xe	54	124	0.00095	0	0	0
Xe	54	126	0.00089	0	0	0
Xe	54	128	0.0191	0	0	0
Xe	54	129	0.264	0.5	0.01	0.329
Xe	54	130	0.04071	0	0	0
Xe	54	131	0.21232	1.5	-0.009	-0.272
Xe	54	132	0.26909	0	0	0
Xe	54	134	0.10436	0	0	0
Xe	54	136	0.08857	0	0	0
Cs	55	133	1	3.5	-0.225	0.002
Ba	56	130	0.00106	0	0	0
Ba	56	132	0.00101	0	0	0
Ba	56	134	0.02417	0	0	0
Ba	56	135	0.06592	1.5	-0.004	-0.145
Ba	56	136	0.07854	0	0	0
Ba	56	137	0.11232	1.5	0	0
Ba	56	138	0.71698	0	0	0
La	57	138	0.0009	5	0	0
La	57	139	0.9991	3.5	-0.16	0
Ce	58	136	0.00185	0	0	0
Ce	58	138	0.00251	0	0	0
Ce	58	140	0.8845	0	0	0
Ce	58	142	0.11114	0	0	0
Pr	59	141	1	2.5	0	0
Nd	60	142	0.272	0	0	0
Nd	60	143	0.122	3.5	0	0
Nd	60	144	0.238	0	0	0
Nd	60	145	0.083	3.5	0	0
Nd	60	146	0.172	0	0	0
Nd	60	148	0.057	0	0	0
Nd	60	150	0.056	0	0	0
Pm	61	145	0	0	0	0
Sm	62	144	0.0307	0	0	0
Sm	62	147	0.1499	3.5	0	0
Sm	62	148	0.1124	0	0	0
Sm	62	149	0.1382	3.5	0	0
Sm	62	150	0.0738	0	0	0
Sm	62	152	0.2675	0	0	0
Sm	62	154	0.2275	0	0	0
Eu	63	151	0.4781	2.5	0	0
Eu	63	153	0.5219	2.5	0	0
Gd	64	152	0.002	0	0	0
Gd	64	154	0.0218	0	0	0
Gd	64	155	0.148	1.5	0	0.07
Gd	64	156	0.2047	0	0	0
Gd	64	157	0.1565	1.5	0	0.09
Gd	64	158	0.2484	0	0	0
Gd	64	160	0.2186	0	0	0
Tb	65	159	1	1.5	0	0
Dy	66	156	0.0006	0	0	0
Dy	66	158	0.001	0	0	0
Dy	66	160	0.0234	0	0	0
Dy	66	161	0.1891	2.5	0	0
Dy	66	162	0.2551	0	0	0
Dy	66	163	0.249	2.5	0	0
Dy	66	164	0.2818	0	0	0
Ho	67	165	1	3.5	0	0
Er	68	162	0.00139	0	0	0
Er	68	164	0.01601	0	0	0
Er	68	166	0.33503	0	0	0
