# s2_bin_number	start_pe	end_pe
0	90.	91.5999
1	91.5999	93.2283
2	93.2283	94.8856
3	94.8856	96.5724
4	96.5724	98.2892
5	98.2892	100.0365
6	100.0365	101.8148
7	101.8148	103.6248
8	103.6248	105.467
9	105.467	107.3419
10	107.3419	109.2501
11	109.2501	111.1922
12	111.1922	113.1689
13	113.1689	115.1807
14	115.1807	117.2283
15	117.2283	119.3122
16	119.3122	121.4333
17	121.4333	123.592
18	123.592	125.7891
19	125.7891	128.0253
20	128.0253	130.3012
21	130.3012	132.6175
22	132.6175	134.9751
23	134.9751	137.3745
24	137.3745	139.8167
25	139.8167	142.3022
26	142.3022	144.8319
27	144.8319	147.4066
28	147.4066	150.027
29	150.027	152.6941
30	152.6941	155.4085
31	155.4085	158.1712
32	158.1712	160.9831
33	160.9831	163.8449
34	163.8449	166.7575
35	166.7575	169.722
36	169.722	172.7392
37	172.7392	175.81
38	175.81	178.9353
39	178.9353	182.1163
40	182.1163	185.3538
41	185.3538	188.6488
42	188.6488	192.0024
43	192.0024	195.4157
44	195.4157	198.8896
45	198.8896	202.4253
46	202.4253	206.0238
47	206.0238	209.6863
48	209.6863	213.4139
49	213.4139	217.2078
50	217.2078	221.0691
51	221.0691	224.999
52	224.999	228.9989
53	228.9989	233.0698
54	233.0698	237.2131
55	237.2131	241.43
56	241.43	245.722
57	245.722	250.0902
58	250.0902	254.536
59	254.536	259.0609
60	259.0609	263.6663
61	263.6663	268.3535
62	268.3535	273.124
63	273.124	277.9794
64	277.9794	282.921
65	282.921	287.9505
66	287.9505	293.0694
67	293.0694	298.2793
68	298.2793	303.5819
69	303.5819	308.9787
70	308.9787	314.4714
71	314.4714	320.0618
72	320.0618	325.7515
73	325.7515	331.5424
74	331.5424	337.4363
75	337.4363	343.4349
76	343.4349	349.5402
77	349.5402	355.754
78	355.754	362.0782
79	362.0782	368.5149
80	368.5149	375.066
81	375.066	381.7336
82	381.7336	388.5197
83	388.5197	395.4264
84	395.4264	402.456
85	402.456	409.6104
86	409.6104	416.8921
87	416.8921	424.3032
88	424.3032	431.8461
89	431.8461	439.523
90	439.523	447.3365
91	447.3365	455.2888
92	455.2888	463.3825
93	463.3825	471.6201
94	471.6201	480.0041
95	480.0041	488.5371
96	488.5371	497.2219
97	497.2219	506.061
98	506.061	515.0573
99	515.0573	524.2135
100	524.2135	533.5325
101	533.5325	543.0171
102	543.0171	552.6704
103	552.6704	562.4952
104	562.4952	572.4947
105	572.4947	582.672
106	582.672	593.0302
107	593.0302	603.5725
108	603.5725	614.3023
109	614.3023	625.2228
110	625.2228	636.3374
111	636.3374	647.6496
112	647.6496	659.1629
113	659.1629	670.8809
114	670.8809	682.8072
115	682.8072	694.9455
116	694.9455	707.2995
117	707.2995	719.8733
118	719.8733	732.6705
119	732.6705	745.6952
120	745.6952	758.9515
121	758.9515	772.4434
122	772.4434	786.1752
123	786.1752	800.151
124	800.151	814.3754
125	814.3754	828.8526
126	828.8526	843.5871
127	843.5871	858.5836
128	858.5836	873.8467
129	873.8467	889.3812
130	889.3812	905.1917
131	905.1917	921.2834
132	921.2834	937.6611
133	937.6611	954.3299
134	954.3299	971.2951
135	971.2951	988.5619
136	988.5619	1006.1356
137	1006.1356	1024.0217
138	1024.0217	1042.2258
139	1042.2258	1060.7535
140	1060.7535	1079.6106
141	1079.6106	1098.8029
142	1098.8029	1118.3364
143	1118.3364	1138.2171
144	1138.2171	1158.4513
145	1158.4513	1179.0451
146	1179.0451	1200.0051
147	1200.0051	1221.3377
148	1221.3377	1243.0494
149	1243.0494	1265.1472
150	1265.1472	1287.6378
151	1287.6378	1310.5282
152	1310.5282	1333.8255
153	1333.8255	1357.537
154	1357.537	1381.6701
155	1381.6701	1406.2321
156	1406.2321	1431.2308
157	1431.2308	1456.6738
158	1456.6738	1482.5692
159	1482.5692	1508.9249
160	1508.9249	1535.7492
161	1535.7492	1563.0503
162	1563.0503	1590.8367
163	1590.8367	1619.1171
164	1619.1171	1647.9002
165	1647.9002	1677.1951
166	1677.1951	1707.0106
167	1707.0106	1737.3563
168	1737.3563	1768.2414
169	1768.2414	1799.6755
170	1799.6755	1831.6684
171	1831.6684	1864.2301
172	1864.2301	1897.3706
173	1897.3706	1931.1003
174	1931.1003	1965.4296
175	1965.4296	2000.3691
176	2000.3691	2035.9298
177	2035.9298	2072.1226
178	2072.1226	2108.9589
179	2108.9589	2146.45
180	2146.45	2184.6075
181	2184.6075	2223.4434
182	2223.4434	2262.9697
183	2262.9697	2303.1987
184	2303.1987	2344.1428
185	2344.1428	2385.8147
186	2385.8147	2428.2275
187	2428.2275	2471.3942
188	2471.3942	2515.3283
189	2515.3283	2560.0435
190	2560.0435	2605.5535
191	2605.5535	2651.8726
192	2651.8726	2699.0151
193	2699.0151	2746.9956
194	2746.9956	2795.8291
195	2795.8291	2845.5308
196	2845.5308	2896.1159
197	2896.1159	2947.6003
198	2947.6003	3000.
